ln	u(ln)	UH	uBUH
0	0.105630874543406	0	0.000058
-0.550046336919272	0.149467583797224	0.0302	0.00011
-1.06087196068526	0.0777404836858571	0.0574	0.000157
-1.40179854765586	0.0806088610802334	0.0825	0.000201
-1.59038971746341	0.0831791865135588	0.1174	0.000261
-1.93634069803916	0.0908585637470687	0.1513	0.00032
-2.34180580614733	0.10770654960773	0.1941	0.000394
-2.72746828695931	0.0755238659180795	0.231	0.000458
-3.16278635821716	0.0766634719787748	0.272	0.000529
-3.8559335387771	0.0822941629652701	0.334	0.000636
-4.23892579103321	0.0902554814928904	0.372	0.000702
-5.15521652290736	0.147048921359005	0.45	0.000837
-5.78382518232974	0.248968252651623	0.514	0.000948
-6.76465443534146	0.637722550910279	0.602	0.0011
-7.86326672400957	1.90146757553959	0.716	0.001298
