Ia	ZI	uBIa	UH	ZUH	uBUH
2,6	15	0,1942	0	0,2	0,000058
1,5	15	0,1942	0,0302	0,2	0,000110
0,9	1,5	0,0194	0,0574	0,2	0,000157
0,64	1,5	0,0194	0,0825	0,2	0,000201
0,53	1,5	0,0194	0,1174	0,2	0,000261
0,375	1,5	0,0194	0,1513	0,2	0,000320
0,25	1,5	0,0194	0,1941	0,2	0,000394
0,17	0,15	0,0019	0,231	2	0,000458
0,11	0,15	0,0019	0,272	2	0,000529
0,055	0,15	0,0019	0,334	2	0,000636
0,0375	0,15	0,0019	0,372	2	0,000702
0,015	0,15	0,0019	0,45	2	0,000837
0,008	0,15	0,0019	0,514	2	0,000948
0,003	0,15	0,0019	0,602	2	0,001100
0,001	0,15	0,0019	0,716	2	0,001298
