Lp	s1	s2	s3	s4	s5	s6	s7	s8	s9
1	0,4	2,9	0	1,6	1,5	1,4	0,5	1,2	0,2
2	4,7	6,7	3,5	4,7	4,4	4,1	3	3,6	2,5
3	9	10,5	6,9	7,7	7,3	6,8	5,5	5,9	4,7
4	13,3	14,3	10,3	10,9	10,1	9,6	8	8,2	6,8
5	17,6	18	13,8	14	13	12,2	10,5	10,5	9
6	21,8	21,8	17,3	17	15,9	14,9	13	12,8	11,2
7	26,1	25,6	20,7	20,1	18,8	17,6	15,5	15,1	13,4
8	30,4	29,4	24,2	23,2	21,6	20,3	18	17,4	15,6
9	34,7	33,2	27,6	26,3	24,5	23	20,5	19,8	17,7
10	39	36,9	31,1	29,4	27,4	25,7	23	22,1	19,9
11	43,3	40,7	34,5	32,5	30,3	28,4	25,5	24,4	22,1
12	47,6	44,5	38	35,6	33,2	31,1	28	26,7	24,4
13		48,2	41,4	38,7	36,1	33,7	30,5	29	26,6
14			44,9	41,8	38,9	36,4	33	31,3	28,7
15			48,3	44,9	41,8	39,1	35,5	33,6	30,9
16				48	44,7	41,8	38	35,9	33,1
17					47,5	44,5	40,5	38,3	35,2
18						47,2	43	40,6	37,4
19						49,9	45,5	42,8	39,7
20							48	45,1	41,8
21								47,4	44
22								49,8	46,2
23									48,4
