Lp	theta	cos4	u(cos4)	I	zakres	u(I)
1	0	1	0	1100	3000	75
2	5	0,9849	0,0049	1070	3000	75
3	10	0,9406	0,0095	1010	3000	75
4	15	0,871	0,013	890	1000	25
5	20	0,78	0,016	820	1000	25
6	25	0,675	0,018	725	1000	25
7	30	0,563	0,019	625	1000	25
8	35	0,45	0,018	525	1000	25
9	40	0,344	0,017	420	1000	25
10	45	0,25	0,014	310	1000	25
11	50	0,171	0,012	215	300	7,5
12	55	0,1082	0,0088	138	300	7,5
13	60	0,0625	0,0062	80	100	2,5
14	65	0,0319	0,0039	41,5	100	2,5
15	70	0,0137	0,0022	17	30	0,75
16	75	0,00449	0,00096	5,7	10	0,25
17	80	0,00091	3e-04	0,8	1	0,025
18	85	5,8e-05	3,8e-05	0,44	1	0,025
19	90	0	1,3e-50	0,46	1	0,025
