Lp	alfa	beta	sina	usina	sinb	usinb
1	2	1,5	0,035	0,014	0,026	0,014
2	4	3	0,07	0,014	0,052	0,014
3	6	4	0,105	0,014	0,07	0,014
4	8	5,5	0,139	0,014	0,096	0,014
5	10	7	0,174	0,014	0,122	0,014
6	12	8	0,208	0,014	0,139	0,014
7	14	9	0,242	0,014	0,156	0,014
8	16	10,5	0,276	0,014	0,182	0,014
9	18	12	0,309	0,014	0,208	0,014
10	20	13	0,342	0,013	0,225	0,014
11	22	14,5	0,375	0,013	0,25	0,014
12	24	15,5	0,407	0,013	0,267	0,014
13	26	17	0,438	0,013	0,292	0,014
14	28	18,2	0,469	0,013	0,312	0,014
15	30	19,5	0,5	0,012	0,334	0,013
16	32	20,5	0,53	0,012	0,35	0,013
17	34	22	0,559	0,012	0,375	0,013
18	36	23	0,588	0,012	0,391	0,013
19	38	24	0,616	0,011	0,407	0,013
20	40	25,5	0,643	0,011	0,431	0,013
21	42	26,2	0,669	0,011	0,442	0,013
22	44	27,5	0,695	0,01	0,462	0,013
23	46	28,7	0,7193	0,0099	0,48	0,013
24	48	29,5	0,7431	0,0096	0,492	0,012
25	50	30,5	0,766	0,0092	0,508	0,012
26	52	31,8	0,788	0,0088	0,527	0,012
27	54	32,5	0,809	0,0084	0,537	0,012
28	55	33	0,8192	0,0082	0,545	0,012
29	56	33,5	0,829	0,008	0,552	0,012
30	57	33,8	0,8387	0,0078	0,556	0,012
31	58	34,1	0,848	0,0076	0,561	0,012
32	59	34,5	0,8572	0,0074	0,566	0,012
33	60	35	0,866	0,0072	0,574	0,012
34	62	35,8	0,8829	0,0067	0,585	0,012
35	64	36,9	0,8988	0,0063	0,6	0,011
36	66	37,3	0,9135	0,0058	0,606	0,011
37	68	38	0,9272	0,0054	0,616	0,011
38	70	38,8	0,9397	0,0049	0,627	0,011
39	72	39,5	0,9511	0,0044	0,636	0,011
40	74	39,7	0,9613	0,0039	0,639	0,011
41	76	40,5	0,9703	0,0035	0,649	0,011
42	78	41,2	0,9781	0,003	0,659	0,011
43	80	41,6	0,9848	0,0025	0,664	0,011
